intro_loop.thisRepN,intro_loop.thisTrialN,intro_loop.thisN,intro_loop.thisIndex,intro_loop.ran,Figure,Figure2,Figure3,Figure4,Text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,confidence_response.keys,confidence_response.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,beads_image,intro_agents.thisRepN,intro_agents.thisTrialN,intro_agents.thisN,intro_agents.thisIndex,intro_agents.ran,key_resp1.keys,key_resp1.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,agent1,agent1_face,agent2,agent2_face,agent3,agent3_face,agent4,agent4_face,key_resp_4.keys,key_resp_4.rt,participant_decision.keys,participant_decision.rt,trials_real.thisRepN,trials_real.thisTrialN,trials_real.thisN,trials_real.thisIndex,trials_real.ran,key_resp_2.keys
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,left,1.0849,0,5,5,3,1,Figures/confident_green.png,Figures/faces/1.png,Figures/confident_green.png,Figures/faces/11.png,Figures/confident_green.png,Figures/faces/12.png,Figures/unconfident_red.png,Figures/faces/2.png,,,,,,,,,,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,left,0.6439,0,6,6,0,1,Figures/confident_green.png,Figures/faces/1.png,Figures/confident_green.png,Figures/faces/11.png,Figures/confident_green.png,Figures/faces/12.png,Figures/confident_green.png,Figures/faces/2.png,,,,,,,,,,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,right,0.6548,0,7,7,6,1,Figures/confident_green.png,Figures/faces/9.png,Figures/confident_green.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/10.png,,,,,,,,,,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,left,0.573,0,8,8,2,1,Figures/confident_green.png,Figures/faces/9.png,Figures/confident_green.png,Figures/faces/19.png,Figures/confident_green.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/10.png,,,,,,,,,,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,right,4.1886,0,9,9,8,1,Figures/confident_red.png,Figures/faces/6.png,Figures/confident_red.png,Figures/faces/16.png,Figures/confident_red.png,Figures/faces/17.png,Figures/unconfident_green.png,Figures/faces/7.png,,,,,,,,,,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/5.png,Figures/confident_green.png,Figures/faces/15.png,Figures/unconfident_red.png,Figures/faces/16.png,Figures/unconfident_red.png,Figures/faces/6.png,space,4.3804,left,1.0123,0,0,0,14,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/4.png,Figures/confident_red.png,Figures/faces/14.png,Figures/confident_red.png,Figures/faces/15.png,Figures/confident_red.png,Figures/faces/5.png,,,right,0.8056,0,1,1,33,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/5.png,Figures/confident_red.png,Figures/faces/15.png,Figures/confident_red.png,Figures/faces/16.png,Figures/confident_red.png,Figures/faces/6.png,,,right,0.735,0,2,2,34,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/8.png,Figures/confident_green.png,Figures/faces/18.png,Figures/confident_green.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/9.png,,,left,0.6011,0,3,3,7,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/9.png,Figures/confident_red.png,Figures/faces/19.png,Figures/confident_red.png,Figures/faces/20.png,Figures/confident_red.png,Figures/faces/10.png,,,left,0.6514,0,4,4,28,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/9.png,Figures/confident_green.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/10.png,,,right,1.6372,0,5,5,18,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/3.png,Figures/confident_red.png,Figures/faces/13.png,Figures/confident_red.png,Figures/faces/14.png,Figures/unconfident_green.png,Figures/faces/4.png,,,left,0.6036,0,6,6,22,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/6.png,Figures/confident_green.png,Figures/faces/16.png,Figures/confident_green.png,Figures/faces/17.png,Figures/confident_green.png,Figures/faces/7.png,,,right,0.6194,0,7,7,5,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/6.png,Figures/confident_green.png,Figures/faces/16.png,Figures/unconfident_red.png,Figures/faces/17.png,Figures/unconfident_red.png,Figures/faces/7.png,,,left,0.6017,0,8,8,15,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/1.png,Figures/confident_green.png,Figures/faces/11.png,Figures/unconfident_red.png,Figures/faces/12.png,Figures/unconfident_red.png,Figures/faces/2.png,,,right,0.5695,0,9,9,20,1,
,,,,,,,,,,JW25,,2021-09-27_09h51.18.801,beads_social_exp,2021.2.0,Win32,60.61340769,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/10.png,Figures/confident_green.png,Figures/faces/20.png,Figures/confident_green.png,Figures/faces/11.png,Figures/unconfident_red.png,Figures/faces/1.png,,,left,0.6057,0,10,10,9,1,
