intro_loop.thisRepN,intro_loop.thisTrialN,intro_loop.thisN,intro_loop.thisIndex,intro_loop.ran,Figure,Figure2,Figure3,Figure4,Text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,confidence_response.keys,confidence_response.rt,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,beads_image,intro_agents.thisRepN,intro_agents.thisTrialN,intro_agents.thisN,intro_agents.thisIndex,intro_agents.ran,key_resp1.keys,key_resp1.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,agent1,agent1_face,agent2,agent2_face,agent3,agent3_face,agent4,agent4_face,key_resp_4.keys,key_resp_4.rt,participant_decision.keys,participant_decision.rt,trials_real.thisRepN,trials_real.thisTrialN,trials_real.thisN,trials_real.thisIndex,trials_real.ran,key_resp_2.keys
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/3.png,Figures/confident_red.png,Figures/faces/13.png,Figures/confident_red.png,Figures/faces/14.png,Figures/unconfident_green.png,Figures/faces/4.png,,,right,0.5361,0,1,1,22,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/7.png,Figures/confident_red.png,Figures/faces/17.png,Figures/confident_red.png,Figures/faces/18.png,Figures/unconfident_green.png,Figures/faces/8.png,,,left,0.4168,0,2,2,26,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/2.png,Figures/confident_red.png,Figures/faces/12.png,Figures/confident_red.png,Figures/faces/13.png,Figures/unconfident_green.png,Figures/faces/3.png,,,right,0.5043,0,3,3,21,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/3.png,Figures/confident_red.png,Figures/faces/13.png,Figures/confident_red.png,Figures/faces/14.png,Figures/confident_red.png,Figures/faces/4.png,,,left,0.7245,0,4,4,32,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/5.png,Figures/confident_green.png,Figures/faces/15.png,Figures/confident_green.png,Figures/faces/16.png,Figures/confident_green.png,Figures/faces/6.png,,,left,0.8681,0,5,5,4,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/9.png,Figures/confident_green.png,Figures/faces/19.png,Figures/confident_green.png,Figures/faces/20.png,Figures/unconfident_red.png,Figures/faces/10.png,,,right,0.7339,0,6,6,8,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/8.png,Figures/confident_green.png,Figures/faces/18.png,Figures/unconfident_red.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/9.png,,,left,1.1337,0,7,7,17,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/6.png,Figures/confident_green.png,Figures/faces/16.png,Figures/unconfident_red.png,Figures/faces/17.png,Figures/unconfident_red.png,Figures/faces/7.png,,,right,0.5254,0,8,8,15,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/6.png,Figures/confident_red.png,Figures/faces/16.png,Figures/confident_red.png,Figures/faces/17.png,Figures/unconfident_green.png,Figures/faces/7.png,,,left,0.6007,0,9,9,25,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/1.png,Figures/confident_red.png,Figures/faces/11.png,Figures/confident_red.png,Figures/faces/12.png,Figures/confident_red.png,Figures/faces/2.png,,,right,0.852,0,10,10,30,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/3.png,Figures/confident_green.png,Figures/faces/13.png,Figures/confident_green.png,Figures/faces/14.png,Figures/confident_green.png,Figures/faces/4.png,,,right,0.5827,0,11,11,2,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/10.png,Figures/confident_green.png,Figures/faces/20.png,Figures/confident_green.png,Figures/faces/11.png,Figures/unconfident_red.png,Figures/faces/1.png,,,right,0.5511,0,12,12,9,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/1.png,Figures/confident_green.png,Figures/faces/11.png,Figures/unconfident_red.png,Figures/faces/12.png,Figures/unconfident_red.png,Figures/faces/2.png,,,left,0.6876,0,13,13,20,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_red.png,Figures/faces/9.png,Figures/confident_red.png,Figures/faces/19.png,Figures/confident_red.png,Figures/faces/20.png,Figures/confident_red.png,Figures/faces/10.png,,,right,0.4874,0,14,14,28,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/5.png,Figures/confident_green.png,Figures/faces/15.png,Figures/unconfident_red.png,Figures/faces/16.png,Figures/unconfident_red.png,Figures/faces/6.png,,,right,0.4505,0,15,15,14,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/8.png,Figures/confident_green.png,Figures/faces/18.png,Figures/confident_green.png,Figures/faces/19.png,Figures/unconfident_red.png,Figures/faces/9.png,,,right,0.7876,0,16,16,7,1,
,,,,,,,,,,JA23,,2021-09-23_18h59.49.273,beads_social_exp,2021.2.0,Win32,61.50818059,,,,,,,,,,,,,,,,,,,,,,,Figures/confident_green.png,Figures/faces/2.png,Figures/confident_green.png,Figures/faces/12.png,Figures/confident_green.png,Figures/faces/13.png,Figures/confident_green.png,Figures/faces/3.png,,,right,0.6914,0,17,17,1,1,
