left,32
left,25
right,17
left,11
right,29
right,28
left,13
left,18
right,31
left,6
left,34
right,14
right,1
left,19
right,22
left,26
right,16
left,33
right,21
right,2
right,23
right,7
left,4
right,3
right,9
right,30
left,20
left,27
right,15
right,8
left,10
right,0
left,24
left,12
left,5
left,11
right,30
left,34
right,28
right,2
right,14
right,9
right,15
right,7
left,12
right,3
right,22
left,5
left,33
left,19
right,31
left,25
right,0
left,32
right,21
right,16
right,17
right,24
right,1
right,29
left,10
left,13
left,26
left,20
left,4
right,8
left,18
left,6
right,23
left,27
right,7
left,13
right,2
right,16
left,11
right,9
right,15
right,22
left,17
left,27
left,10
right,28
left,6
left,26
left,25
right,23
right,1
right,4
right,30
left,34
right,14
left,5
left,32
right,0
left,19
left,3
right,8
right,24
right,31
left,12
left,18
left,33
right,21
left,20
right,29
