right,7
right,9
right,24
right,16
right,22
right,6
right,26
left,0
left,34
left,15
right,23
right,8
left,10
left,31
right,32
right,5
right,33
left,25
left,19
left,21
right,18
right,2
left,11
right,28
right,3
left,12
right,4
right,30
right,29
right,20
left,27
right,1
left,13
right,17
right,14
left,8
right,17
right,3
right,24
right,19
left,11
right,26
right,10
left,16
right,32
left,2
right,29
right,5
left,18
left,1
left,27
right,15
right,25
right,6
right,7
right,21
right,13
right,12
left,4
right,28
left,34
left,22
right,14
left,30
right,23
right,20
right,33
right,31
right,9
left,0
left,10
right,7
left,27
right,21
right,26
left,28
left,2
right,30
right,11
left,20
right,3
right,29
left,32
left,25
right,31
right,5
left,8
left,14
right,0
left,9
left,1
left,4
right,16
left,22
right,17
right,19
right,13
right,33
left,34
right,12
left,6
left,23
right,15
right,24
right,18
