left,14
right,33
right,34
left,7
left,28
right,18
left,22
right,5
left,15
right,20
left,9
left,3
left,2
left,30
right,6
left,11
right,19
right,25
right,26
left,10
right,29
left,8
right,23
left,0
right,32
right,24
left,4
right,27
right,31
left,16
left,13
left,21
left,1
left,12
left,17
left,8
left,9
left,3
left,1
left,7
left,16
right,20
right,18
right,5
left,0
left,28
left,29
right,23
left,10
right,27
right,13
right,33
left,22
right,19
left,15
left,30
left,21
right,6
left,14
right,34
right,11
left,17
left,31
left,2
right,4
right,26
left,24
right,12
right,32
right,25
right,27
left,24
left,0
right,26
right,32
left,2
left,29
left,23
left,7
left,9
right,11
left,28
right,34
left,1
right,13
right,6
right,33
left,15
left,21
right,19
right,18
right,25
left,8
right,4
left,3
right,5
right,20
right,12
left,30
left,22
left,10
left,31
left,17
left,14
left,16
