right,7
right,1
left,31
right,10
left,30
right,16
right,0
right,8
left,23
right,15
left,26
left,33
left,28
left,29
right,14
right,12
right,18
right,2
right,19
right,4
right,6
left,21
right,17
left,32
left,34
right,11
right,9
left,25
right,20
left,24
left,27
right,13
right,3
right,5
left,22
right,19
right,7
right,15
right,9
left,23
left,30
left,28
right,18
right,2
left,25
right,13
left,31
left,27
right,16
left,26
left,29
right,14
right,4
right,5
right,1
right,17
left,21
left,24
right,0
right,6
left,22
right,8
right,20
right,12
left,34
right,10
right,11
left,33
left,32
right,3
right,8
left,34
right,12
left,32
left,31
left,24
right,18
left,25
left,26
right,15
right,11
right,4
left,23
right,6
right,5
right,2
left,30
right,9
right,19
right,17
right,3
right,1
right,14
left,29
right,13
right,16
right,20
left,27
left,21
right,0
right,7
left,33
left,28
right,10
left,22
