left,25
right,20
left,15
left,10
right,18
right,7
right,2
right,34
left,17
left,6
right,4
left,16
left,11
right,33
left,21
right,12
right,8
left,29
right,22
left,26
left,0
left,31
left,14
right,19
left,13
left,1
right,24
right,3
right,5
left,28
right,27
left,9
right,32
right,30
right,23
left,30
right,17
right,3
left,24
right,20
left,6
left,28
right,25
left,21
right,7
right,12
right,27
left,0
right,4
left,15
right,32
right,11
left,31
right,33
right,29
right,16
right,23
left,18
right,5
left,34
left,22
left,13
left,1
right,19
left,10
right,2
left,14
left,26
right,9
left,8
left,19
right,13
right,24
left,30
right,23
right,22
left,6
left,26
right,17
left,18
left,12
right,25
right,14
left,11
left,10
right,29
left,31
right,27
left,20
left,2
right,16
right,1
left,5
right,32
right,34
left,8
left,0
right,7
left,21
right,33
left,28
left,15
right,4
right,3
right,9
